week_ending,sum(staff_weekly_confirmed_covid_19)
2020-05-24,1238
2020-05-31,256
2020-06-07,202
2020-06-14,207
2020-06-21,146
2020-06-28,186
2020-07-05,258
2020-07-12,406
2020-07-19,525
2020-07-26,483
2020-08-02,395
2020-08-09,426
2020-08-16,366
2020-08-23,277
2020-08-30,239
2020-09-06,218
2020-09-13,315
2020-09-20,297
2020-09-27,224
2020-10-04,185
2020-10-11,168
2020-10-18,142
2020-10-25,195
2020-11-01,182
2020-11-08,204
2020-11-15,249
2020-11-22,196
2020-11-29,210
2020-12-06,302
2020-12-13,331
2020-12-20,458
2020-12-27,521
2021-01-03,602
2021-01-10,637
2021-01-17,628
2021-01-24,426
2021-01-31,273
2021-02-07,168
2021-02-14,107
2021-02-21,82
2021-02-28,57
2021-03-07,32
2021-03-14,27
2021-03-21,24
2021-03-28,22
2021-04-04,22
2021-04-11,23
2021-04-18,20
2021-04-25,20
2021-05-02,18
2021-05-09,24
2021-05-16,16
2021-05-23,24
2021-05-30,18
2021-06-06,9
2021-06-13,7
2021-06-20,4
2021-06-27,7
2021-07-04,7
2021-07-11,14
2021-07-18,28
2021-07-25,66
2021-08-01,119
2021-08-08,175
2021-08-15,223
2021-08-22,252
2021-08-29,278
2021-09-05,290
2021-09-12,215
2021-09-19,156
2021-09-26,99
2021-10-03,65
2021-10-10,46
2021-10-17,60
2021-10-24,38
2021-10-31,28
2021-11-07,28
2021-11-14,21
2021-11-21,26
2021-11-28,21
2021-12-05,15
2021-12-12,21
2021-12-19,41
2021-12-26,265
2022-01-02,1435
2022-01-09,1725
2022-01-16,1366
2022-01-23,1191
2022-01-30,866
2022-02-06,468
2022-02-13,284
2022-02-20,123
2022-02-27,53
2022-03-06,37
2022-03-13,13
2022-03-20,15
2022-03-27,8
2022-04-03,10
2022-04-10,10
2022-04-17,14
2022-04-24,28
2022-05-01,24
2022-05-08,29
2022-05-15,57
2022-05-22,76
2022-05-29,82
2022-06-05,133
2022-06-12,214
2022-06-19,218
2022-06-26,208
2022-07-03,289
2022-07-10,336
